"","parameter","MC_ProfileLogLik"
"21",4.86445,-393.8124486
"22",4.86445,-407.6103807
"23",4.86445,-428.052299
"24",4.86445,-370.46928625
"25",4.86445,-347.15089851
"26",4.86445,-489.6659279
"27",4.86445,-387.2394395
"28",4.86445,-429.6220313
"29",4.86445,-386.2800702
"30",4.86445,-426.8280779
"31",3.85452,-369.5265731
"32",3.85452,-414.6028805
"33",3.85452,-415.9527775
"34",3.85452,-399.3676226
"35",3.85452,-400.1038932
"36",3.85452,-418.0898
"37",3.85452,-440.9427954
"38",3.85452,-444.5261729
"39",3.85452,-407.70875951
"40",3.85452,-389.3123006
"51",9.38511,-727.95408038
"52",9.38511,-604.2605225
"53",9.38511,-636.78566067
"54",9.38511,-492.7860273
"55",9.38511,-511.50117958
"56",9.38511,-547.53408245
"57",9.38511,-461.939447
"58",9.38511,-552.530707112288
"59",9.38511,-618.4327195
"60",9.38511,-481.9973844
"71",5.11619,-427.0775606
"72",5.11619,-402.9092231
"73",5.11619,-462.4984721
"74",5.11619,-364.85775139
"75",5.11619,-402.105838
"76",5.11619,-399.33328225
"77",5.11619,-410.2979126
"78",5.11619,-441.3228004
"79",5.11619,-441.5806834
"80",5.11619,-400.2333156
"191",0.160731,-415.1562326
"192",0.160731,-444.5867901
"193",0.160731,-456.89078333
"194",0.160731,-478.2748408
"195",0.160731,-386.453845
"196",0.160731,-400.5380256
"197",0.160731,-395.6983887
"198",0.160731,-509.629158
"199",0.160731,-415.241259
"200",0.160731,-455.8867459
"221",6.1179,-428.267633437
"222",6.1179,-404.0787477
"223",6.1179,-439.237956
"224",6.1179,-485.3937688
"225",6.1179,-482.9886404
"226",6.1179,-531.6930446
"227",6.1179,-471.7621065
"228",6.1179,-477.1165652
"229",6.1179,-484.7270172
"230",6.1179,-616.1720376
"291",4.4842,-381.98265
"292",4.4842,-366.4617535
"293",4.4842,-389.275017
"294",4.4842,-393.645122
"295",4.4842,-417.0719443
"296",4.4842,-379.7708972
"297",4.4842,-397.88046552
"298",4.4842,-386.8148321
"310",5.37638,-473.69008485
"311",5.37638,-374.5660274
"312",5.37638,-472.0066034
"313",5.37638,-375.3324654
"314",5.37638,-460.56914
"315",5.37638,-417.6585887
"316",5.37638,-395.93205841
"317",5.37638,-407.254798
"318",5.37638,-358.1573301
"319",5.37638,-381.1677536
"320",5.83875,-414.513624
"321",5.83875,-358.19422355
"322",5.83875,-452.5739417
"323",5.83875,-412.9852044
"324",5.83875,-419.2363276
"325",5.83875,-392.99884023
"326",5.83875,-414.891569
"327",5.83875,-395.9113968
"328",5.83875,-398.320292
"329",5.83875,-383.80755
"360",4.4842,-382.042351
"361",4.4842,-429.329411
"508",1.1069,-404.86709382
"509",1.1069,-421.3803957
"510",1.1069,-430.489788
"511",1.1069,-446.8437897
"512",1.1069,-377.3430475
"513",1.1069,-451.0557959
"514",1.1069,-443.4303889
"515",1.1069,-436.4144803
"516",1.1069,-414.58817782
"517",1.1069,-415.0143482
"621",1.31704,-453.7809931
"622",1.31704,-489.65080182
"623",1.31704,-452.9522138
"624",1.31704,-476.052804
"625",1.31704,-449.6847556
"626",1.31704,-493.4933481
"627",1.31704,-423.3314663
"628",1.31704,-430.5131596
"629",1.31704,-438.01572599
"630",1.31704,-435.4637353
"661",0.360907,-408.9629992
"662",0.360907,-480.9464018
"663",0.360907,-417.46155091
"664",0.360907,-445.1256729
"665",0.360907,-447.180092
"666",0.360907,-435.2504043
"667",0.360907,-457.25261908
"668",0.360907,-520.1535699
"669",0.360907,-392.083382
"670",0.360907,-500.5966104
"801",2.44811,-381.47088752
